* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, desert, sgjourney:abydos_desert, MONSTER, alexsmobs:farseer, 30, 1, 1
2, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_skeleton, 10, 1, 2
3, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_spider, 10, 3, 5
4, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:barrel_zombie, 10, 1, 1
5, desert, sgjourney:abydos_desert, MONSTER, quark:stoneling, 10, 1, 1
6, desert, sgjourney:abydos_desert, MONSTER, quark:toretoise, 10, 2, 4
7, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
8, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
9, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:boulder, 10, 1, 1
10, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
11, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
12, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
13, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
14, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:dig, 15, 1, 1
15, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
16, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
17, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
18, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:drimble, 5, 1, 1
19, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
20, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
21, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
22, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
23, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:missioner, 8, 1, 1
24, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mother_spider, 8, 1, 1
25, desert, sgjourney:abydos_desert, MONSTER, mowziesmobs:grottol, 30, 1, 1
26, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
27, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
28, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 6, 1, 1
29, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:phantom_creeper, 6, 1, 1
30, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 6, 1, 1
31, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:restless_spirit, 10, 1, 1
32, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:scamp, 15, 1, 1
33, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
34, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:siamese_skeletons, 10, 1, 1
35, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
36, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
37, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
38, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
39, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spirit_guide, 10, 1, 1
40, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
41, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
42, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:swarmer, 8, 1, 1
43, desert, sgjourney:abydos_desert, MONSTER, terramity:uvogre, 10, 1, 1
44, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 1
45, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
46, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 10, 1, 1
47, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 1
48, desert, sgjourney:abydos_desert, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
49, desert, sgjourney:abydos_desert, AMBIENT, terramity:blue_fairy, 15, 1, 2
50, desert, sgjourney:abydos_desert, AMBIENT, terramity:cave_gnome, 20, 1, 3
51, desert, sgjourney:abydos_desert, AMBIENT, terramity:green_fairy, 15, 2, 3
52, desert, sgjourney:abydos_desert, AMBIENT, terramity:pink_fairy, 15, 1, 2
53, desert, sgjourney:abydos_desert, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
54, desert, sgjourney:abydos_desert, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
55, none, sgjourney:abydos_oasis, MONSTER, minecraft:spider, 35, 4, 4
56, none, sgjourney:abydos_oasis, MONSTER, minecraft:zombie, 30, 4, 4
57, none, sgjourney:abydos_oasis, MONSTER, minecraft:zombie_villager, 30, 1, 1
58, none, sgjourney:abydos_oasis, MONSTER, minecraft:skeleton, 60, 4, 4
59, none, sgjourney:abydos_oasis, MONSTER, minecraft:creeper, 60, 4, 4
60, none, sgjourney:abydos_oasis, MONSTER, minecraft:slime, 60, 4, 4
61, none, sgjourney:abydos_oasis, MONSTER, minecraft:enderman, 40, 1, 4
62, none, sgjourney:abydos_oasis, MONSTER, minecraft:witch, 30, 1, 1
63, none, sgjourney:abydos_oasis, MONSTER, alexsmobs:farseer, 30, 1, 1
64, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:baby_skeleton, 10, 1, 2
65, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:baby_spider, 10, 3, 5
66, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:barrel_zombie, 10, 1, 1
67, none, sgjourney:abydos_oasis, MONSTER, quark:stoneling, 10, 1, 1
68, none, sgjourney:abydos_oasis, MONSTER, quark:toretoise, 10, 2, 4
69, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
70, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
71, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:boulder, 10, 1, 1
72, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
73, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
74, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
75, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
76, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:dig, 15, 1, 1
77, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
78, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
79, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
80, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:drimble, 5, 1, 1
81, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
82, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
83, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
84, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
85, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:missioner, 8, 1, 1
86, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mother_spider, 8, 1, 1
87, none, sgjourney:abydos_oasis, MONSTER, mowziesmobs:grottol, 30, 1, 1
88, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
89, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
90, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_creeper, 3, 1, 1
91, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_enderman, 3, 1, 1
